year_month,month_count,month_url
2020/11,469,https://nuforc.org/subndx/?id=e202011
2020/10,551,https://nuforc.org/subndx/?id=e202010
2020/08,742,https://nuforc.org/subndx/?id=e202008
2020/07,680,https://nuforc.org/subndx/?id=e202007
2020/06,395,https://nuforc.org/subndx/?id=e202006
2020/05,584,https://nuforc.org/subndx/?id=e202005
2020/04,1060,https://nuforc.org/subndx/?id=e202004
2020/03,840,https://nuforc.org/subndx/?id=e202003
2020/02,621,https://nuforc.org/subndx/?id=e202002
2020/01,635,https://nuforc.org/subndx/?id=e202001
