details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=178610,09/30/2023 22:04,South Haven Michigan,MI,USA,Circle,"It was a clear night, full moon, what appeared to be two stars very bright in the sky, standing still, then started to move slowly",10/02/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=178622,09/30/2023 22:02,Spokane,WA,USA,Light,"One bright, shiny fuzzy spark JRA...just rolling along",10/01/2023,10/28/2023,
https://nuforc.org/sighting/?id=178688,09/30/2023 21:46,Huron,OH,USA,Orb,"While seated fishing, I noticed a red circle shaped object just to the right of the moon moving ene to wsw.",10/05/2023,10/28/2023,
https://nuforc.org/sighting/?id=178646,09/30/2023 21:45,Rapid City,SD,USA,Chevron,Large Boomerang shape UFO with no lights flew over our house,09/30/2023,10/28/2023,
https://nuforc.org/sighting/?id=178757,09/30/2023 21:40,Chattanooga,TN,USA,Sphere,"Glowing, bright, small, silent floating orb. About the size of a softball.",10/07/2023,10/28/2023,
https://nuforc.org/sighting/?id=178741,09/30/2023 21:00,Gettysburg,PA,USA,Disk,blinking object seen racing around in sky,10/08/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=178642,09/30/2023 20:30,Rice,VA,USA,Disk,"Flying disc, thought was a shooting star, lights on the side, it began to rotate and move in front of me through the sky.",10/01/2023,10/28/2023,
https://nuforc.org/sighting/?id=178617,09/30/2023 20:15,Fontana,CA,USA,Fireball,"I was driving out my street when I realized two very bright lights , looking as if one was following the other",10/01/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=178630,09/30/2023 20:11,Edgerton,MO,USA,Formation,We were watching the tree line where flying objects had been coming from..,10/01/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=178552,09/30/2023 20:07,Panama City Beach,FL,USA,Changing,"Was UFO watching at my house awaiting my friend to show up to join, when I saw them. They were in a line and appeared off-set",10/04/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=178636,09/30/2023 19:28,Pasadena,MD,USA,Light,Driving in my neighborhood I saw bright circular lights over the houses. They began to make formations and slowly dim away one by one,10/01/2023,10/28/2023,Y
