details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=168438,05/31/2022 23:28,Old Fort,TN,USA,Light,"Light that appeared similar to another star, traveling exactly like a LEO satellite. Stopped, pinballed, and shot off out of sight.",06/01/2022,06/22/2022,Y
https://nuforc.org/sighting/?id=168451,05/31/2022 23:00,Long Beach,CA,USA,Fireball,Large Hovering Fireball,05/31/2022,06/22/2022,
https://nuforc.org/sighting/?id=168520,05/31/2022 22:34,Lake Hopatcong,NJ,USA,Light,Red light gets sucked into white light,06/05/2022,06/22/2022,
https://nuforc.org/sighting/?id=168496,05/31/2022 22:24,Lake Hopatcong,NJ,USA,Light,Red light gets sucked into white crack opening in sky,06/06/2022,06/22/2022,
https://nuforc.org/sighting/?id=178452,05/31/2022 22:14,Berea,OH,USA,Changing,Object comes into view and it trying to stay low behind trees.,09/24/2023,10/28/2023,Y
https://nuforc.org/sighting/?id=176181,05/31/2022 22:06,Buffalo,NY,USA,Oval,Left my boyfriend’s house and walking down his back deck I looked up at the sky. I saw the most strange oval tic moving chaotically,06/10/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=168452,05/31/2022 22:00,Medina,OH,USA,Star,looked like A very very bright Venus in the northern sky,05/31/2022,06/22/2022,
https://nuforc.org/sighting/?id=168521,05/31/2022 21:59,Boise,ID,USA,Sphere,I have 3 pictures I took,06/05/2022,06/22/2022,Y
https://nuforc.org/sighting/?id=172233,05/31/2022 20:30,Saint Paul,MN,USA,Rectangle,Outside of my apartment hovering close by was a square shaped object floating it didn't make any sound at all.,10/08/2022,12/22/2022,
https://nuforc.org/sighting/?id=168717,05/31/2022 20:20,Ajax,ON,Canada,,MADAR Node 41,06/18/2022,06/22/2022,
https://nuforc.org/sighting/?id=172832,05/31/2022 19:48,Chino,CA,USA,Triangle,Low flying triangle over the trees and completely silent.,11/06/2022,12/22/2022,
https://nuforc.org/sighting/?id=175896,05/31/2022 19:42,Panama City Beach,FL,USA,Triangle,Bright Triangle sunlit in appearance was visible until tree line blocked view.,05/24/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=168445,05/31/2022 11:45,Delmar,NY,USA,Light,Pink Flash of Light,06/01/2022,06/22/2022,
https://nuforc.org/sighting/?id=170423,05/31/2022 09:20,,-,USA,Unknown,"As passenger on plane, cruising altitude, daylight, saw 3 bright lights,(headlights, oncoming) in triangle pattern, approach plane",07/13/2022,09/09/2022,Y
https://nuforc.org/sighting/?id=177631,05/31/2022 08:47,Cocoa,FL,USA,Cigar,Caught it on camera,08/15/2023,09/10/2023,Y
https://nuforc.org/sighting/?id=167880,05/31/2022 05:00,Greenwood,IN,USA,Circle,I took my dogs out just before 5am this morning and saw a flashing light to the west. The object was not moving and high in the sky.,05/31/2022,06/22/2022,Y
https://nuforc.org/sighting/?id=167959,05/31/2022 03:23,Tinley Park,IL,USA,Fireball,"Appeared over the same area as Tinley park lights but looked different, this looked bigger and was more the color of a star",05/31/2022,06/22/2022,
https://nuforc.org/sighting/?id=168431,05/31/2022 02:00,Edgewood,MD,USA,Oval,Near military base. we saw a bright green object abt 1000 ft above us.,06/02/2022,06/22/2022,Y
https://nuforc.org/sighting/?id=167961,05/31/2022 01:38,Everett,PA,USA,Cigar,I saw a green flashing light heading east. It made an 90 degree turn to the north traveling. Then make.another 90° turn to.the west,05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=167963,05/31/2022 01:11,MIDDLEBURG FL,FL,USA,Chevron,SORT OF DRIFTING,05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=167960,05/30/2022 22:31,Menifee,CA,USA,Triangle,Orange/red Triangle object,05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=168596,05/30/2022 22:15,Antelope,CA,USA,Triangle,Silent object without lights similar to the “triforce” travelled south to north in the sky.,06/10/2022,06/22/2022,
https://nuforc.org/sighting/?id=168441,05/30/2022 22:13,Tucson,AZ,USA,Unknown,Two UFOs during meteor shower,06/01/2022,06/22/2022,
https://nuforc.org/sighting/?id=168476,05/30/2022 22:05,Vilas,NC,USA,Sphere,"Brightest light in sky, round white light that moved consistently, made no sound, then suddenly disappeared.",06/07/2022,06/22/2022,
https://nuforc.org/sighting/?id=167887,05/30/2022 22:05,Vista,CA,USA,Light,"Sighted a ""satellite"" that stopped and stayed.",05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=167957,05/30/2022 21:30,Marathon,TX,USA,Fireball,"Green flash on the western horizon, then a pulsing array of many small green dots in the sky",05/31/2022,06/22/2022,
https://nuforc.org/sighting/?id=168040,05/30/2022 21:20,Emmaus,PA,USA,Formation,5 orange glowing orbs floating horizontally across the night sky,05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=168039,05/30/2022 20:53,Baldwin park,CA,USA,Unknown,Wepersonally seen only a bright light coming down from the sky in a cone shape over my backyard and a hum or growl sound. Neighbors too,05/30/2022,06/22/2022,
https://nuforc.org/sighting/?id=167988,05/30/2022 19:45,CHARLESTON,WV,USA,Oval,Multi colored orbs.,05/29/2022,06/22/2022,
https://nuforc.org/sighting/?id=176121,05/30/2022 16:39,Redwood City,CA,USA,Sphere,"Group of Silver Spheres in a Checkborad Pattern over Menlo Park, Ca.",06/07/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=168028,05/30/2022 16:00,Carolina Beach,NC,USA,,"Long cylinder, reflecting sun, moving at high rate of speed.",05/31/2022,06/22/2022,
