details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=166515,01/31/2022 21:40,Columbus,IN,USA,Triangle,"Triangular object hovering in one spot, dark in color",01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=167502,01/31/2022 21:30,Winsford,Cheshire West and Chester,United Kingdom,Other,Bright light moving,04/17/2022,04/22/2022,
https://nuforc.org/sighting/?id=167075,01/31/2022 20:45,Spokane,WA,USA,Disk,Large disk object with two beans of light hovers over with red and orange blinking lights.,03/11/2022,04/22/2022,
https://nuforc.org/sighting/?id=166538,01/31/2022 20:32,New River,AZ,USA,Cross,"This UFO was inbound to PHX on the Northwest Jet Arrival, just like the March 13, 1997 mass sighting.",02/02/2022,03/04/2022,
https://nuforc.org/sighting/?id=166503,01/31/2022 20:00,Blairsville,GA,USA,Other,Looked like the moon looks behind a cloud but moving,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166513,01/31/2022 19:55,Sound Beach,NY,USA,Changing,"A huge very bright ring shape flying towards my house and changing shape, photograps look like disc and Chevron shape",01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166512,01/31/2022 19:49,Marshall,NC,USA,Orb,Looked like an out of focus moon moving slowly from north east to west.,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166489,01/31/2022 19:48,Trent Hills (Canada),ON,Canada,Light,Bright white light within a white haze,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166501,01/31/2022 19:48,Hanover (Canada),ON,Canada,Light,It was a ball of light moving north to south quickly then disappeared,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166514,01/31/2022 19:46,Port Allegheny,PA,USA,Circle,I got a photo,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166527,01/31/2022 19:46,Warsaw,MO,USA,Unknown,Bright object approached from north & projected a large circular symbol on clouds. Symbol was like a 2 armed spiral galaxy. No sound.,02/01/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166488,01/31/2022 19:40,Smilax,KY,USA,Sphere,Strange Sphere over Smilax,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166534,01/31/2022 19:38,Akron,OH,USA,Sphere,Object was bright white to bluish white. The night was completely clear but the object looked like it had a fog or cloud around it.,02/01/2022,03/04/2022,
https://nuforc.org/sighting/?id=166524,01/31/2022 19:06,Jacksonville,FL,USA,Light,"Bright dancing light that was about 40 feet in the air, then vanished.",02/01/2022,03/04/2022,
https://nuforc.org/sighting/?id=166535,01/31/2022 19:06,Orlando,FL,USA,Oval,I look up at the sky and photograph quite often. What I saw yesterday evening was different.,02/01/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166504,01/31/2022 18:55,Noble,OK,USA,Disk,We were outside and we saw a bright light so we recorded it and checked flight radars and it didn’t show up,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166516,01/31/2022 18:55,Memphis (over),TN,USA,Light,I’m a commercial airline pilot.,02/01/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166493,01/31/2022 18:50,Clarksville Sango area,TN,USA,Cylinder,large tree size mass like a glowing round clous movingfrom north to south then changed into a cylindrical shape and headed west,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166496,01/31/2022 18:50,Russellville,SD,USA,Changing,Spiral ufo changing shape,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166499,01/31/2022 18:50,Sioux Falls,SD,USA,Unknown,We were walking and saw a weird non-blinking shape,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166502,01/31/2022 18:50,Russellville,AR,USA,Changing,Spiral ufo emitting some type of trail,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166518,01/31/2022 18:50,Owasso,OK,USA,Light,Moving point of light (a satellite?) surrounded by a spiral shaped haze in an otherwise crystal clear night,02/01/2022,03/04/2022,
https://nuforc.org/sighting/?id=166536,01/31/2022 18:50,Fort Smith,AR,USA,Circle,This object was traveling from the north to the south.,02/01/2022,03/04/2022,
https://nuforc.org/sighting/?id=166544,01/31/2022 18:50,Marion,SD,USA,Light,White dot with 3 cloudy rings with top and bottom truncated. Diameter 2 ft of my vision. Fades to nothing in 60 Seconds,02/02/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166495,01/31/2022 18:49,Puryear,TN,USA,Orb,"Big white orb moving south across the sky at a fast pace, and then vanished.",01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166494,01/31/2022 18:48,Lead Hill,AR,USA,Other,Brightly lit object appeared at 6:48pm at 20° above horizon approximately center between polaris and cassiopia,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166510,01/31/2022 18:48,Colt,AR,USA,Unknown,Elliptical light inside cloud formation moving south at a slow speed.,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166492,01/31/2022 18:47,Yankton,SD,USA,Cigar,"I first saw this cigar shape fairly brightin the northern sky, there was glowing around it on two sides, like if it was shining light.",01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166491,01/31/2022 18:45,Springdale,AR,USA,Sphere,Spiraling slowly southwest,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166498,01/31/2022 18:45,Coffeyville,KS,USA,Triangle,Saw a spiral form,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166528,01/31/2022 18:45,Granby,MO,USA,Other,"Swirling Vortex with a halo, White bluish in color, moving from the north to the southwest.",01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166552,01/31/2022 18:45,Frontenac,MN,USA,Oval,white light in oval shape surrounded by a cloud,02/02/2022,03/04/2022,
https://nuforc.org/sighting/?id=166507,01/31/2022 18:26,Swansboro,NC,USA,Unknown,Objects coming out of a luminous cloud,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166506,01/31/2022 18:15,Jupiter,FL,USA,Formation,Spores near launch of space x ((NUORC Note: Lens flare fom nearby LED street llamp?? PD)),01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166511,01/31/2022 18:15,North Topsail Beach,NC,USA,Orb,2 white orb/spheres in the sky with white cloud mist,01/31/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166605,01/31/2022 18:14,Miami,FL,USA,Diamond,It went sideways and then straight into the sky disappearing,02/06/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166508,01/31/2022 18:00,North Woodstock,NH,USA,Star,A strange star that Vanished,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166532,01/31/2022 17:35,Draper,UT,USA,Orb,"We saw a light hovering that appeared to have another smaller orbiting sphere, it appeared out of nowhere and disappeared as suddenly",02/01/2022,03/04/2022,
https://nuforc.org/sighting/?id=166463,01/31/2022 07:30,Kingsport,TN,USA,Other,Very bright and pill shaped/horizontal flat,01/31/2022,03/04/2022,
https://nuforc.org/sighting/?id=166649,01/31/2022 06:55,Derby (UK/England),Derbyshire,United Kingdom,Triangle,Caught on camera,02/11/2022,03/04/2022,Y
https://nuforc.org/sighting/?id=166636,01/30/2022 23:40,Pinellas park,FL,USA,Circle,We were leaving the work and as we were about to turn on the road we saw a cluster of 3 orange lights,02/11/2022,03/04/2022,
