details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=177399,05/31/2023 23:30,Panama City Beach,FL,USA,Other,"The SpaceX craft landed in Gulf 7 miles offshore Panama City FL on same night, splashing down around 10 pm. We heard sonic boom at 10.",08/04/2023,09/10/2023,Y
https://nuforc.org/sighting/?id=175992,05/31/2023 22:32,McAllen,TX,USA,Light,Light moving eradically,05/30/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=176485,05/31/2023 22:05,Kettering,Northamptonshire,United Kingdom,Fireball,"Orange object resembling a Chinese lantern hovers in the sky, disappears then reappears several finger measurements away.",06/27/2023,07/10/2023,
https://nuforc.org/sighting/?id=176013,05/31/2023 21:46,LIBERTY TOWNSHIP,OH,USA,Changing,"Looks like a space craft, second picture when it moved and can see an angelic figure",05/31/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=176024,05/31/2023 21:39,Victorville,CA,USA,Light,As I would look up more would appear out of thin air,06/05/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=176016,05/31/2023 21:15,Bentonville,AR,USA,Circle,I saw a hovering orange light that barely moved.,05/31/2023,07/10/2023,
https://nuforc.org/sighting/?id=176076,05/31/2023 21:00,Manchester,TN,USA,Circle,It was a light below the clouds no flashing no noise traveling at a high rate. It actually lit the base of the clouds as it traveled.,06/02/2023,07/10/2023,
https://nuforc.org/sighting/?id=176850,05/31/2023 18:00,"Oakenshaw, Low Moor, Wibsey",Bradford,United Kingdom,Cigar,At approx 1800hrs this evening myself and my partner witnessed a UFO going across the sky high above Oaken,06/01/2023,07/29/2023,
https://nuforc.org/sighting/?id=175999,05/31/2023 11:14,Plainfield,IL,USA,Formation,There was lights in the sky that became visible and invisible.,05/31/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=176218,05/31/2023 03:00,Kitchener,ON,Canada,Light,A single star size light moved faster then a plane but slower then a comet moving in all directions with single camera like flash,06/12/2023,07/10/2023,
https://nuforc.org/sighting/?id=175995,05/31/2023 02:29,Rio tercero,Córdoba Province,Argentina,Light,I saw through the window a large ball of blue and white light that was flying at a low altitude.,05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=176017,05/30/2023 22:27,Romeo,MI,USA,Triangle,Two extremely large triangle objects moving in the air from southwest to northeast,05/31/2023,07/10/2023,
https://nuforc.org/sighting/?id=176001,05/30/2023 22:05,Coweta,OK,USA,Fireball,Large bright red fireball/orb followed by large white orb,05/31/2023,07/10/2023,
https://nuforc.org/sighting/?id=175996,05/30/2023 22:04,Las vegas,NV,USA,Orb,"Was outside & noticed a red/orange glow way above Luxor, as we were watching it it started to fade& disappear b4 photo taken",05/30/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=175990,05/30/2023 21:59,SAND SPRINGS,OK,USA,Orb,"Orangey red orb, not blinking, moving steady north/West to East. Vapor trail with it. No sound.",05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=175987,05/30/2023 21:57,Herington,KS,USA,Cigar,Appears to be controlled flight with non wavering light emitted. Missile possible but big full body,05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=175986,05/30/2023 21:55,Glenpool,OK,USA,Fireball,We saw a fireball,05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=175989,05/30/2023 21:55,Cassville,MO,USA,Fireball,Bright red glowing ball moving slowly across the sky then as it got closer it has a stream of sparks behind it as long.,05/30/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=175988,05/30/2023 21:52,broken arrow,OK,USA,Cube,small pink cube floating quickly across sky,05/30/2023,07/10/2023,Y
https://nuforc.org/sighting/?id=175993,05/30/2023 21:43,Las Vegas,NV,USA,Circle,"Light moved like a balloon, and not a plane/ drone, and the light turned off after 5-10 seconds of view.",05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=175994,05/30/2023 21:42,St. James/Rolla,MO,USA,Changing,Orange craft flying across sky with very faint trail.,05/30/2023,07/10/2023,
https://nuforc.org/sighting/?id=175991,05/30/2023 21:12,Lakewood,CO,USA,Orb,Small glowing red orb moving over 3x faster than any plane I’ve ever seen. In a perfectly straight line from North West to South East,05/30/2023,07/10/2023,
