details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=161841,01/31/2021 23:50,Garden City,ID,USA,Sphere,3 Bright Hovering Spheres in night sky,01/30/2021,03/02/2021,
https://nuforc.org/sighting/?id=161858,01/31/2021 17:51,Pocatello,ID,USA,Orb,"White lights popping into view, moving a short distance in the sky and popping out of sight.",01/31/2021,03/02/2021,
https://nuforc.org/sighting/?id=161859,01/31/2021 17:45,Bhadohi,,India,Oval,((NUFORC Note: No significant information provided by witness. PD)),01/31/2021,03/02/2021,
https://nuforc.org/sighting/?id=161879,01/31/2021 11:00,Aurora,CO,USA,Formation,3 objects in a triangle formation,02/01/2021,03/02/2021,
https://nuforc.org/sighting/?id=161855,01/31/2021 10:43,Denver,CO,USA,Formation,1433 N Williams St,01/31/2021,03/02/2021,
https://nuforc.org/sighting/?id=161843,01/30/2021 23:30,Richmond,VA,USA,Unknown,weird sounding and yellowish glow,01/30/2021,03/02/2021,
https://nuforc.org/sighting/?id=161844,01/30/2021 22:30,Port Saint Lucie,FL,USA,Formation,I can't really explain. There was about 10 objects or so. They came together than stot up into the sky. I was able to get my phone out,01/30/2021,03/02/2021,
https://nuforc.org/sighting/?id=161857,01/30/2021 21:00,Boca raton,FL,USA,Light,I started videoing object after I witnessed it as a red light hovering,01/31/2021,03/02/2021,
https://nuforc.org/sighting/?id=161968,01/30/2021 19:38,Muscat (Oman),,Oman,Rectangle,Possible UFO sighting in Oman (Arabian Gulf),02/09/2021,03/02/2021,
https://nuforc.org/sighting/?id=161850,01/30/2021 19:10,Riverview,FL,USA,Fireball,Red balls in formation flying in the sky,01/30/2021,03/02/2021,
https://nuforc.org/sighting/?id=161842,01/30/2021 19:00,Milton,FL,USA,Triangle,"It was dark(about 7pm) an I had just passed NAS Whiting Field on hwy 87 heading south towards Milton, alongside a few other vehicles.",01/30/2021,03/02/2021,
https://nuforc.org/sighting/?id=161856,01/30/2021 19:00,Exton,PA,USA,Other,Massive wide U shaped translucent object with 20 - 30 dim lights heading SW,01/31/2021,03/02/2021,
https://nuforc.org/sighting/?id=174331,01/30/2021 18:47,Gig Harbor,WA,USA,Cigar,Game cam ((NUFORC Note: Insect in flight? PD)),02/06/2023,03/06/2023,Y
